Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"Happier","Tanner Patrick","Happier - Single","All","Playlist","TCAEA1813543","1447509382"
"Summer","Marshmello","Joytime","All","Playlist","TCACK1581191","1072189411"
"Silence (feat. Khalid)","Marshmello","Silence (feat. Khalid) - Single","All","Playlist","USRC11701901","1268152499"
"Happier","Marshmello & Bastille","Happier (Slowed + Reverb) - Single","All","Playlist","USUG11801651","1706191920"
"Ocean (feat. Khalid)","Martin Garrix","Ocean (feat. Khalid) - Single","All","Playlist","NLM5S1800214","1397556695"
"There for You","Martin Garrix & Troye Sivan","There for You - Single","All","Playlist","NLM5S1600060","1238673347"
"In the Name of Love","Martin Garrix & Bebe Rexha","In The Name Of Love - Single","All","Playlist","NLM5S1600003","1137641426"
"Used To Love","Martin Garrix & Dean Lewis","Used To Love - Single","All","Playlist","NLM5S1900686","1484631112"
"Won’t Let You Go","Martin Garrix, Matisse & Sadko & JOHN MARTIN","Won’t Let You Go - Single","All","Playlist","NLM5S2101507","1596283391"
"Say It Now","麥特卡爾尼","January Flower","All","Playlist","QZHEY2000024","1549769957"
"Me Without Us (with Justin Jesso)","Matisse & Sadko & Raiden","Me Without Us (with Justin Jesso) - Single","All","Playlist","FIWMA2200255","1635853918"
"Love Story","Matt Cab","Love Stories (Bonus Track Version)","All","Playlist","JPJ901211530","555292230"
"Long shot","Mayu Maeshima","TVアニメ「Re:ゼロから始める異世界生活」2nd season 後期オープニングテーマ「Long shot」 - EP","All","Playlist","JPD732000473","1550230067"
"New Sunshine","MEMODEMO","New Sunshine - Single","All","Playlist","QZHNB2070830","1523794349"
"リコレクト・リフレクト","meramipop & nayuta","Equilibrium","All","Playlist","TCJPM2086088","1537763703"
"追風、僕らは征く","meramipop & nayuta","Equilibrium","All","Playlist","TCJPM2086089","1537763704"
"Silence","Metro Vice","Silence - Single","All","Playlist","QZFZ42113783","1551487656"
"When a Man Loves a Woman (2017 Version)","Michael Bolton","Songs of Cinema","All","Playlist","US25A1700050","1759150674"
"Collateral","The Midnight","Nocturnal","All","Playlist","TCADH1787616","1758764169"
"Find Our Way (feat. Klei)","Midnight Kids","Find Our Way (feat. Klei) - Single","All","Playlist","QZDA51826194","1437813023"
"Out of Time (feat. Yueku)","Midnight Kids","Out of Time (feat. Yueku) - Single","All","Playlist","QM24S2101943","1558885696"
"Monsters","Midnight Kids","The Lost Youth","All","Playlist","USRC11903770","1511562816"
"Andromeda","Midtro & James Stailey","Andromeda - Single","All","Playlist","TCADW1803035","1436188738"
"Cute Swing","Mihony","Cute Swing - Single","All","Playlist","SE6I31927637","1483232803"
"Body to Body (feat. Imani Williams)","Mike Perry","Body to Body (feat. Imani Williams) - Single","All","Playlist","SE3AA1700010","1227973845"
"By Your Side","Mike Perry","By Your Side - Single","All","Playlist","SE3AA2000020","1531321080"
"Me Looking At U","Mike Perry","Me Looking At U - Single","All","Playlist","SE3AA2100016","1595579631"
"Stay Young (feat. Tessa)","Mike Perry","Stay Young (feat. Tessa) - Single","All","Playlist","SE3AA1700019","1273742508"
"Hero","Mike Perry & Hazel","Hero - Single","All","Playlist","SE3AA2100006","1570816499"
"Wait For You (feat. Maia Wright)","Mike Williams","Wait For You (feat. Maia Wright) - Single","All","Playlist","NLZ541900623","1459995107"
"Kanata","mikito","Cytus II-Paff (Original Soundtrack)","All","Playlist","TCADS1871638","1414689810"
"Bring Me Back (feat. Claire Ridgely)","Miles Away","Bring Me Back (feat. Claire Ridgely) - Single","All","Playlist","USLZJ2052157","1536339940"
"Falling In","Miles Away","Falling In - Single","All","Playlist","QMWZB1710298","1752902710"
"Firefly (feat. Amanda Yang)","Miles Away","Firefly (feat. Amanda Yang) - Single","All","Playlist","QMWZB1810786","1356847501"
"Goodbye","Miles Away","The Space Between Two Halves of a Heart","All","Playlist","QZTRX2363017","1693428336"
"The Space Between","Miles Away","The Space Between Two Halves of a Heart","All","Playlist","QZTRX2363056","1693428338"
"18 (feat. RYYZN)","Miles Away & Axys","18 (feat. RYYZN) - Single","All","Playlist","QZ5FN1989113","1460413218"
"Clear","Miles Away & Exede","Miles Away - EP","All","Playlist","GBKPL1955156","1637947302"
"STAY","milet","eyes","All","Playlist","JPU902001006","1538265332"
"Time Is On Our Side","milet","Ordinary days - EP","All","Playlist","JPU902101638","1574860236"
"jam (with iri)","milet","visions","All","Playlist","JPU902105123","1596199255"
"Ordinary days","milet","visions","All","Playlist","JPU902101637","1596199265"
"Noёl In July","milet","5am","All","Playlist","JPU902302996","1698949335"
"Wrecking Ball","Miley Cyrus","Sad Songs","All","Playlist","USRC11301214","904438781"
"Party In the U.S.A.","Miley Cyrus","The Time of Our Lives","All","Playlist","USHR10924519","1440810158"
"world.execute (me) ;","Mili","Miracle Milk","All","Playlist","TCJPE1657482","1158609134"
"Heartseeker (feat. iMeiden) [with iMeiden]","Miraie","Heartseeker (feat. iMeiden) [with iMeiden] - Single","All","Playlist","GBSMU4311941","1300685682"
